1,12,1157,female,491.143,SEP
2,16,1188,female,986.16,NOV
3,19,805,female,600.899,MAR
4,16,1240,male,779.786,NOV
5,NA,1240,male,456.12,MAR
6,18,609,male,887.106,JAN
7,15,558,male,969.761,OCT
8,NA,584,female,881.86,DEC
9,19,743,male,297.997,OCT
10,18,579,male,969.337,NA
11,13,762,male,621.146,FEB
12,16,865,female,416.887,JAN
13,12,622,male,407.317,NOV
14,10,671,female,538.424,APR
15,20,598,male,710.449,AUG
16,11,871,female,969.586,JUL
17,14,943,female,844.26,OCT
18,16,1133,male,371.034,SEP
19,16,569,male,200.232,MAY
20,10,901,male,170.367,MAR
21,NA,827,male,836.544,MAR
22,18,1004,male,309.653,DEC
23,16,752,male,898.725,MAR
24,18,528,female,427.456,NA
25,NA,1176,female,558.649,NA
26,NA,988,male,582.211,APR
27,14,1152,female,948.688,NOV
28,17,894,female,168.139,JUL
29,19,973,male,879.593,FEB
30,NA,1184,male,721.586,JUN
